type_id,blueprint_id,material_type_id,quantity,snapshot
165,681,38,86,2014-07-10
166,682,38,133,2014-07-10
582,683,34,22222,2014-07-10
582,683,35,8000,2014-07-10
582,683,36,2444,2014-07-10
582,683,37,500,2014-07-10
582,683,38,2,2014-07-10
582,683,39,2,2014-07-10
583,684,34,20000,2014-07-10
583,684,35,4444,2014-07-10
583,684,36,2111,2014-07-10
583,684,37,556,2014-07-10
583,684,38,11,2014-07-10
583,684,39,1,2014-07-10
584,685,34,13333,2014-07-10
584,685,35,12778,2014-07-10
584,685,36,1667,2014-07-10
584,685,37,222,2014-07-10
584,685,38,56,2014-07-10
584,685,39,11,2014-07-10
584,685,40,3,2014-07-10
620,686,34,544444,2014-07-10
620,686,35,130000,2014-07-10
620,686,36,31111,2014-07-10
620,686,37,8778,2014-07-10
620,686,38,1556,2014-07-10
620,686,39,444,2014-07-10
620,686,40,89,2014-07-10
621,687,34,544444,2014-07-10
621,687,35,122222,2014-07-10
621,687,36,36667,2014-07-10
621,687,37,10444,2014-07-10
621,687,38,3333,2014-07-10
621,687,39,700,2014-07-10
621,687,40,278,2014-07-10
638,688,34,10608667,2014-07-10
638,688,35,2652667,2014-07-10
638,688,36,664444,2014-07-10
638,688,37,165911,2014-07-10
638,688,38,41422,2014-07-10
638,688,39,9878,2014-07-10
638,688,40,3144,2014-07-10
585,689,34,21111,2014-07-10
585,689,35,5000,2014-07-10
585,689,36,1667,2014-07-10
585,689,37,111,2014-07-10
585,689,38,100,2014-07-10
585,689,40,3,2014-07-10
586,690,34,15556,2014-07-10
586,690,35,10222,2014-07-10
586,690,36,2778,2014-07-10
586,690,37,111,2014-07-10
586,690,38,78,2014-07-10
586,690,39,17,2014-07-10
586,690,40,3,2014-07-10
587,691,34,22778,2014-07-10
587,691,35,6222,2014-07-10
587,691,36,2222,2014-07-10
587,691,37,356,2014-07-10
587,691,38,133,2014-07-10
587,691,39,17,2014-07-10
587,691,40,1,2014-07-10
622,692,34,511111,2014-07-10
622,692,35,188889,2014-07-10
622,692,36,40000,2014-07-10
622,692,37,10333,2014-07-10
622,692,38,2778,2014-07-10
622,692,39,622,2014-07-10
622,692,40,122,2014-07-10
639,693,34,10321889,2014-07-10
639,693,35,2581444,2014-07-10
639,693,36,647667,2014-07-10
639,693,37,161511,2014-07-10
639,693,38,40278,2014-07-10
639,693,39,9500,2014-07-10
639,693,40,2733,2014-07-10
482,784,38,31,2014-07-10
482,784,40,2,2014-07-10
482,784,483,1,2014-07-10
482,784,3689,6,2014-07-10
482,784,11399,2,2014-07-10
482,784,11482,2,2014-07-10
482,784,11541,5,2014-07-10
482,784,11689,2,2014-07-10
483,785,34,1324,2014-07-10
483,785,35,481,2014-07-10
483,785,36,119,2014-07-10
499,786,34,471,2014-07-10
499,786,35,716,2014-07-10
501,788,34,3258,2014-07-10
501,788,35,2926,2014-07-10
501,788,36,107,2014-07-10
503,790,34,122,2014-07-10
503,790,35,1342,2014-07-10
503,790,38,9,2014-07-10
503,790,39,2,2014-07-10
503,790,40,11,2014-07-10
202,803,34,3084,2014-07-10
202,803,35,472,2014-07-10
202,803,36,68,2014-07-10
202,803,39,2,2014-07-10
203,804,34,1867,2014-07-10
203,804,35,144,2014-07-10
203,804,36,17,2014-07-10
203,804,38,2,2014-07-10
203,804,39,2,2014-07-10
204,805,34,1842,2014-07-10
204,805,35,707,2014-07-10
204,805,39,2,2014-07-10
205,806,34,1447,2014-07-10
205,806,36,81,2014-07-10
205,806,37,4,2014-07-10
205,806,39,1,2014-07-10
206,807,34,351,2014-07-10
206,807,35,119,2014-07-10
206,807,38,1,2014-07-10
207,808,34,496,2014-07-10
207,808,35,220,2014-07-10
207,808,38,2,2014-07-10
208,809,34,716,2014-07-10
208,809,35,2,2014-07-10
208,809,36,6,2014-07-10
208,809,38,3,2014-07-10
209,810,34,820,2014-07-10
209,810,38,2,2014-07-10
210,811,34,69,2014-07-10
210,811,35,43,2014-07-10
210,811,36,2,2014-07-10
211,812,34,58,2014-07-10
211,812,35,72,2014-07-10
212,813,34,150,2014-07-10
212,813,35,18,2014-07-10
212,813,36,12,2014-07-10
213,814,34,54,2014-07-10
213,814,35,16,2014-07-10
213,814,36,6,2014-07-10
484,819,34,231,2014-07-10
484,819,35,220,2014-07-10
485,820,34,996,2014-07-10
485,820,35,300,2014-07-10
485,820,39,1,2014-07-10
486,821,34,1667,2014-07-10
486,821,35,144,2014-07-10
486,821,36,83,2014-07-10
486,821,37,22,2014-07-10
487,822,34,1596,2014-07-10
487,822,35,690,2014-07-10
487,822,36,144,2014-07-10
488,823,34,2729,2014-07-10
488,823,35,148,2014-07-10
488,823,36,171,2014-07-10
488,823,39,2,2014-07-10
489,824,34,827,2014-07-10
489,824,35,598,2014-07-10
489,824,36,493,2014-07-10
490,825,34,4453,2014-07-10
490,825,35,1287,2014-07-10
490,825,36,1199,2014-07-10
490,825,40,1,2014-07-10
491,826,34,4529,2014-07-10
491,826,35,1643,2014-07-10
491,826,36,2413,2014-07-10
491,826,38,1,2014-07-10
492,827,34,9089,2014-07-10
492,827,35,2786,2014-07-10
492,827,36,2827,2014-07-10
492,827,37,14,2014-07-10
492,827,38,1,2014-07-10
493,828,34,9133,2014-07-10
493,828,35,2981,2014-07-10
493,828,36,3599,2014-07-10
493,828,37,2,2014-07-10
493,828,38,18,2014-07-10
494,829,34,13684,2014-07-10
494,829,35,4117,2014-07-10
494,829,36,3851,2014-07-10
494,829,39,1,2014-07-10
494,829,40,4,2014-07-10
495,830,34,45551,2014-07-10
495,830,35,12150,2014-07-10
495,830,36,6060,2014-07-10
495,830,37,1596,2014-07-10
495,830,38,126,2014-07-10
495,830,39,8,2014-07-10
496,831,34,68307,2014-07-10
496,831,35,17839,2014-07-10
496,831,36,7197,2014-07-10
496,831,37,1951,2014-07-10
496,831,38,234,2014-07-10
496,831,39,6,2014-07-10
496,831,40,13,2014-07-10
497,832,34,91067,2014-07-10
497,832,35,23527,2014-07-10
497,832,36,8613,2014-07-10
497,832,37,2294,2014-07-10
497,832,38,324,2014-07-10
497,832,39,9,2014-07-10
497,832,40,26,2014-07-10
498,833,34,113880,2014-07-10
498,833,35,29214,2014-07-10
498,833,36,9747,2014-07-10
498,833,37,2650,2014-07-10
498,833,38,411,2014-07-10
498,833,39,21,2014-07-10
498,833,40,37,2014-07-10
450,834,34,231,2014-07-10
450,834,35,220,2014-07-10
451,835,34,1102,2014-07-10
451,835,35,113,2014-07-10
451,835,36,4,2014-07-10
451,835,38,2,2014-07-10
451,835,39,1,2014-07-10
452,836,34,1742,2014-07-10
452,836,35,6,2014-07-10
452,836,36,78,2014-07-10
452,836,37,13,2014-07-10
452,836,39,1,2014-07-10
453,837,34,1556,2014-07-10
453,837,35,1158,2014-07-10
453,837,36,3,2014-07-10
453,837,37,7,2014-07-10
454,838,34,2200,2014-07-10
454,838,35,809,2014-07-10
454,838,36,21,2014-07-10
454,838,37,4,2014-07-10
454,838,39,2,2014-07-10
455,839,34,9,2014-07-10
455,839,35,598,2014-07-10
455,839,36,493,2014-07-10
456,840,34,4453,2014-07-10
456,840,35,1287,2014-07-10
456,840,36,1199,2014-07-10
456,840,40,1,2014-07-10
457,841,34,4529,2014-07-10
457,841,35,1643,2014-07-10
457,841,36,2413,2014-07-10
457,841,38,1,2014-07-10
458,842,34,9089,2014-07-10
458,842,35,2786,2014-07-10
458,842,36,2827,2014-07-10
458,842,37,14,2014-07-10
458,842,38,1,2014-07-10
459,843,34,9133,2014-07-10
459,843,35,2981,2014-07-10
459,843,36,3599,2014-07-10
459,843,37,2,2014-07-10
459,843,38,18,2014-07-10
460,844,34,13684,2014-07-10
460,844,35,4117,2014-07-10
460,844,36,3851,2014-07-10
460,844,39,1,2014-07-10
460,844,40,4,2014-07-10
461,845,34,45551,2014-07-10
461,845,35,12150,2014-07-10
461,845,36,6060,2014-07-10
461,845,37,1596,2014-07-10
461,845,38,126,2014-07-10
461,845,39,8,2014-07-10
462,846,34,68307,2014-07-10
462,846,35,17839,2014-07-10
462,846,36,7197,2014-07-10
462,846,37,1951,2014-07-10
462,846,38,234,2014-07-10
462,846,39,6,2014-07-10
462,846,40,13,2014-07-10
463,847,34,91067,2014-07-10
463,847,35,23527,2014-07-10
463,847,36,8613,2014-07-10
463,847,37,2294,2014-07-10
463,847,38,324,2014-07-10
463,847,39,9,2014-07-10
463,847,40,26,2014-07-10
464,848,34,113880,2014-07-10
464,848,35,29214,2014-07-10
464,848,36,9747,2014-07-10
464,848,37,2650,2014-07-10
464,848,38,411,2014-07-10
464,848,39,21,2014-07-10
464,848,40,37,2014-07-10
178,879,34,27,2014-07-10
178,879,35,21,2014-07-10
179,880,34,38,2014-07-10
179,880,35,32,2014-07-10
180,881,34,58,2014-07-10
180,881,35,23,2014-07-10
180,881,37,1,2014-07-10
181,882,34,118,2014-07-10
181,882,36,1,2014-07-10
181,882,37,2,2014-07-10
182,883,34,58,2014-07-10
182,883,35,64,2014-07-10
182,883,36,1,2014-07-10
183,884,34,162,2014-07-10
183,884,35,3,2014-07-10
183,884,37,3,2014-07-10
184,885,34,164,2014-07-10
184,885,35,17,2014-07-10
184,885,37,3,2014-07-10
185,886,34,204,2014-07-10
185,886,35,17,2014-07-10
185,886,38,1,2014-07-10
186,887,34,164,2014-07-10
186,887,35,17,2014-07-10
186,887,37,3,2014-07-10
187,888,34,116,2014-07-10
187,888,35,129,2014-07-10
187,888,36,2,2014-07-10
188,889,34,139,2014-07-10
188,889,35,194,2014-07-10
189,890,34,290,2014-07-10
189,890,35,119,2014-07-10
189,890,36,14,2014-07-10
189,890,37,2,2014-07-10
190,891,34,288,2014-07-10
190,891,35,254,2014-07-10
191,892,34,239,2014-07-10
191,892,35,318,2014-07-10
191,892,36,1,2014-07-10
192,893,34,668,2014-07-10
192,893,35,36,2014-07-10
192,893,36,4,2014-07-10
192,893,37,14,2014-07-10
193,894,34,449,2014-07-10
193,894,35,417,2014-07-10
193,894,36,7,2014-07-10
194,895,34,249,2014-07-10
194,895,35,198,2014-07-10
194,895,37,1,2014-07-10
195,896,34,520,2014-07-10
195,896,35,100,2014-07-10
195,896,36,2,2014-07-10
195,896,37,2,2014-07-10
195,896,38,2,2014-07-10
196,897,34,511,2014-07-10
196,897,35,428,2014-07-10
197,898,34,458,2014-07-10
197,898,35,580,2014-07-10
198,899,34,1040,2014-07-10
198,899,35,156,2014-07-10
198,899,36,104,2014-07-10
199,900,34,1236,2014-07-10
199,900,35,223,2014-07-10
199,900,36,110,2014-07-10
200,901,34,1529,2014-07-10
200,901,36,89,2014-07-10
200,901,37,23,2014-07-10
201,902,34,1778,2014-07-10
201,902,35,127,2014-07-10
201,902,36,89,2014-07-10
201,902,37,29,2014-07-10
589,936,34,22222,2014-07-10
589,936,35,4444,2014-07-10
589,936,36,1667,2014-07-10
589,936,37,333,2014-07-10
589,936,38,67,2014-07-10
589,936,39,6,2014-07-10
590,937,34,16667,2014-07-10
590,937,35,12222,2014-07-10
590,937,36,2778,2014-07-10
590,937,37,11,2014-07-10
590,937,38,6,2014-07-10
590,937,39,1,2014-07-10
590,937,40,1,2014-07-10
591,938,34,22222,2014-07-10
591,938,35,2444,2014-07-10
591,938,36,4444,2014-07-10
591,938,37,222,2014-07-10
591,938,38,44,2014-07-10
591,938,39,11,2014-07-10
592,939,34,18889,2014-07-10
592,939,35,4667,2014-07-10
592,939,36,3556,2014-07-10
592,939,37,278,2014-07-10
592,939,38,33,2014-07-10
592,939,39,6,2014-07-10
593,940,34,23333,2014-07-10
593,940,35,6333,2014-07-10
593,940,36,3000,2014-07-10
593,940,37,333,2014-07-10
593,940,38,78,2014-07-10
593,940,39,11,2014-07-10
593,940,40,1,2014-07-10
594,941,34,13333,2014-07-10
594,941,35,11111,2014-07-10
594,941,36,4000,2014-07-10
594,941,37,33,2014-07-10
594,941,38,17,2014-07-10
594,941,39,6,2014-07-10
597,944,34,22778,2014-07-10
597,944,35,6111,2014-07-10
597,944,36,2889,2014-07-10
597,944,37,400,2014-07-10
597,944,38,89,2014-07-10
597,944,39,17,2014-07-10
598,945,34,17778,2014-07-10
598,945,35,15000,2014-07-10
598,945,36,2778,2014-07-10
598,945,37,111,2014-07-10
598,945,38,2,2014-07-10
598,945,39,2,2014-07-10
598,945,40,1,2014-07-10
599,946,34,17778,2014-07-10
599,946,35,3333,2014-07-10
599,946,36,4444,2014-07-10
599,946,37,167,2014-07-10
599,946,38,22,2014-07-10
599,946,39,3,2014-07-10
599,946,40,1,2014-07-10
602,949,34,17778,2014-07-10
602,949,35,5556,2014-07-10
602,949,36,2889,2014-07-10
602,949,37,1111,2014-07-10
602,949,38,56,2014-07-10
602,949,39,11,2014-07-10
603,950,34,21111,2014-07-10
603,950,35,8889,2014-07-10
603,950,36,3111,2014-07-10
603,950,37,589,2014-07-10
603,950,38,2,2014-07-10
603,950,39,2,2014-07-10
603,950,40,2,2014-07-10
605,952,34,13333,2014-07-10
605,952,35,11111,2014-07-10
605,952,36,2444,2014-07-10
605,952,37,556,2014-07-10
605,952,38,56,2014-07-10
605,952,39,8,2014-07-10
605,952,40,4,2014-07-10
607,954,34,16667,2014-07-10
607,954,35,10556,2014-07-10
607,954,36,2556,2014-07-10
607,954,37,278,2014-07-10
607,954,38,50,2014-07-10
607,954,39,22,2014-07-10
607,954,40,2,2014-07-10
608,955,34,20556,2014-07-10
608,955,35,3889,2014-07-10
608,955,36,2222,2014-07-10
608,955,37,278,2014-07-10
608,955,38,56,2014-07-10
608,955,39,6,2014-07-10
609,956,34,15556,2014-07-10
609,956,35,13333,2014-07-10
609,956,36,2222,2014-07-10
609,956,37,56,2014-07-10
609,956,38,2,2014-07-10
609,956,39,2,2014-07-10
672,967,34,2778,2014-07-10
623,968,34,611111,2014-07-10
623,968,35,155556,2014-07-10
623,968,36,40000,2014-07-10
623,968,37,9889,2014-07-10
623,968,38,2667,2014-07-10
623,968,39,633,2014-07-10
623,968,40,194,2014-07-10
624,969,34,633333,2014-07-10
624,969,35,144444,2014-07-10
624,969,36,42222,2014-07-10
624,969,37,10000,2014-07-10
624,969,38,2556,2014-07-10
624,969,39,611,2014-07-10
624,969,40,161,2014-07-10
625,970,34,577778,2014-07-10
625,970,35,115556,2014-07-10
625,970,36,33333,2014-07-10
625,970,37,8667,2014-07-10
625,970,38,1444,2014-07-10
625,970,39,389,2014-07-10
625,970,40,67,2014-07-10
626,971,34,622222,2014-07-10
626,971,35,133333,2014-07-10
626,971,36,41111,2014-07-10
626,971,37,10111,2014-07-10
626,971,38,2889,2014-07-10
626,971,39,656,2014-07-10
626,971,40,178,2014-07-10
627,972,34,577778,2014-07-10
627,972,35,144444,2014-07-10
627,972,36,38889,2014-07-10
627,972,37,10556,2014-07-10
627,972,38,3000,2014-07-10
627,972,39,567,2014-07-10
627,972,40,144,2014-07-10
628,973,34,444444,2014-07-10
628,973,35,1e+05,2014-07-10
628,973,36,41111,2014-07-10
628,973,37,8889,2014-07-10
628,973,38,2222,2014-07-10
628,973,39,556,2014-07-10
628,973,40,111,2014-07-10
629,974,34,611111,2014-07-10
629,974,35,166667,2014-07-10
629,974,36,38889,2014-07-10
629,974,37,10222,2014-07-10
629,974,38,2556,2014-07-10
629,974,39,522,2014-07-10
629,974,40,211,2014-07-10
630,975,34,433333,2014-07-10
630,975,35,101111,2014-07-10
630,975,36,43333,2014-07-10
630,975,37,9000,2014-07-10
630,975,38,2222,2014-07-10
630,975,39,500,2014-07-10
630,975,40,89,2014-07-10
631,976,34,533333,2014-07-10
631,976,35,140000,2014-07-10
631,976,36,34444,2014-07-10
631,976,37,8556,2014-07-10
631,976,38,1222,2014-07-10
631,976,39,411,2014-07-10
631,976,40,78,2014-07-10
632,977,34,411111,2014-07-10
632,977,35,95556,2014-07-10
632,977,36,40000,2014-07-10
632,977,37,9444,2014-07-10
632,977,38,2444,2014-07-10
632,977,39,611,2014-07-10
632,977,40,167,2014-07-10
633,978,34,422222,2014-07-10
633,978,35,96667,2014-07-10
633,978,36,43333,2014-07-10
633,978,37,10000,2014-07-10
633,978,38,2111,2014-07-10
633,978,39,544,2014-07-10
633,978,40,100,2014-07-10
634,979,34,566667,2014-07-10
634,979,35,134444,2014-07-10
634,979,36,32222,2014-07-10
634,979,37,8889,2014-07-10
634,979,38,1111,2014-07-10
634,979,39,400,2014-07-10
634,979,40,100,2014-07-10
648,983,34,71111,2014-07-10
648,983,35,12667,2014-07-10
648,983,36,6667,2014-07-10
648,983,37,444,2014-07-10
648,983,38,222,2014-07-10
648,983,39,33,2014-07-10
648,983,40,6,2014-07-10
649,984,34,59444,2014-07-10
649,984,35,15333,2014-07-10
649,984,36,5833,2014-07-10
649,984,37,1389,2014-07-10
649,984,38,278,2014-07-10
649,984,39,44,2014-07-10
649,984,40,7,2014-07-10
650,985,34,53333,2014-07-10
650,985,35,13444,2014-07-10
650,985,36,5111,2014-07-10
650,985,37,356,2014-07-10
650,985,38,244,2014-07-10
650,985,39,28,2014-07-10
650,985,40,11,2014-07-10
651,986,34,90000,2014-07-10
651,986,35,10556,2014-07-10
651,986,36,4111,2014-07-10
651,986,37,578,2014-07-10
651,986,38,200,2014-07-10
651,986,39,17,2014-07-10
651,986,40,13,2014-07-10
652,987,34,73333,2014-07-10
652,987,35,18889,2014-07-10
652,987,36,7333,2014-07-10
652,987,37,1233,2014-07-10
652,987,38,344,2014-07-10
652,987,39,56,2014-07-10
652,987,40,9,2014-07-10
653,988,34,82222,2014-07-10
653,988,35,9333,2014-07-10
653,988,36,3889,2014-07-10
653,988,37,667,2014-07-10
653,988,38,133,2014-07-10
653,988,39,44,2014-07-10
653,988,40,6,2014-07-10
654,989,34,71111,2014-07-10
654,989,35,15889,2014-07-10
654,989,36,4889,2014-07-10
654,989,37,700,2014-07-10
654,989,38,194,2014-07-10
654,989,39,33,2014-07-10
654,989,40,11,2014-07-10
655,990,34,69444,2014-07-10
655,990,35,11667,2014-07-10
655,990,36,4556,2014-07-10
655,990,37,611,2014-07-10
655,990,38,189,2014-07-10
655,990,39,28,2014-07-10
655,990,40,6,2014-07-10
656,991,34,67778,2014-07-10
656,991,35,12222,2014-07-10
656,991,36,5111,2014-07-10
656,991,37,711,2014-07-10
656,991,38,222,2014-07-10
656,991,39,28,2014-07-10
656,991,40,8,2014-07-10
657,992,34,74444,2014-07-10
657,992,35,13778,2014-07-10
657,992,36,8667,2014-07-10
657,992,37,1167,2014-07-10
657,992,38,333,2014-07-10
657,992,39,50,2014-07-10
657,992,40,11,2014-07-10
640,994,34,10649667,2014-07-10
640,994,35,2263111,2014-07-10
640,994,36,607000,2014-07-10
640,994,37,166200,2014-07-10
640,994,38,36011,2014-07-10
640,994,39,8033,2014-07-10
640,994,40,3344,2014-07-10
641,995,34,10321889,2014-07-10
641,995,35,2637000,2014-07-10
641,995,36,646889,2014-07-10
641,995,37,161433,2014-07-10
641,995,38,40300,2014-07-10
641,995,39,9556,2014-07-10
641,995,40,2933,2014-07-10
642,996,34,10608667,2014-07-10
642,996,35,2652667,2014-07-10
642,996,36,664444,2014-07-10
642,996,37,165922,2014-07-10
642,996,38,41467,2014-07-10
642,996,39,10022,2014-07-10
642,996,40,3200,2014-07-10
643,997,34,12090111,2014-07-10
643,997,35,3024444,2014-07-10
643,997,36,762222,2014-07-10
643,997,37,189478,2014-07-10
643,997,38,47256,2014-07-10
643,997,39,11089,2014-07-10
643,997,40,5156,2014-07-10
644,998,34,10279111,2014-07-10
644,998,35,2792889,2014-07-10
644,998,36,624889,2014-07-10
644,998,37,164589,2014-07-10
